timestamp_s,phase,altitude_ft,airspeed_kts,engine_rpm,engine_temp_c,vibration_g,pitch_deg,is_anomaly,anomaly_type
49.0,climb,678.66,123.44,2460.91,178.23,0.2987,8.66,False,none
50.0,climb,708.68,126.76,2451.77,179.74,0.3028,8.4,False,none
51.0,climb,741.17,129.45,2442.26,180.97,0.3048,8.17,False,none
52.0,climb,779.69,131.21,2432.39,182.18,0.3043,7.98,False,none
53.0,climb,806.66,132.54,2420.22,183.18,0.3026,7.8,False,none
54.0,climb,840.28,134.33,2411.65,183.71,0.3016,7.65,False,none
55.0,climb,873.89,136.61,2409.36,184.5,0.3019,7.52,False,none
56.0,climb,905.36,138.13,2403.91,185.15,0.2978,7.4,False,none
57.0,climb,937.89,139.87,2399.53,185.7,0.2975,7.29,False,none
58.0,climb,976.57,141.42,2395.27,186.22,0.2967,7.2,False,none
59.0,climb,1003.2,142.82,2392.9,187.13,0.2971,7.11,False,none
60.0,climb,1038.93,143.93,2392.18,187.42,0.2966,7.03,False,none
61.0,climb,1072.09,144.99,2394.61,188.0,0.2936,6.96,False,none
62.0,climb,1105.68,146.13,2391.3,188.52,0.294,6.9,False,none
63.0,climb,1128.79,146.96,2390.22,189.15,0.296,6.84,False,none
64.0,climb,1167.17,147.47,2389.03,189.14,0.2972,6.78,False,none
65.0,climb,1199.24,148.33,2390.84,189.6,0.294,6.73,False,none
66.0,climb,1231.36,149.32,2387.29,189.83,0.2954,6.68,False,none
67.0,climb,1256.51,150.65,2388.33,189.96,0.295,6.63,False,none
68.0,climb,1288.06,151.55,2385.96,190.26,0.2933,6.58,False,none
69.0,climb,1325.75,152.96,2381.68,190.39,0.2921,6.54,False,none
70.0,climb,1361.23,153.96,2379.44,190.59,0.2928,6.5,False,none
71.0,climb,1391.21,155.25,2375.7,190.95,0.2933,6.46,False,none
72.0,climb,1421.1,155.91,2370.43,190.98,0.2917,6.42,False,none
73.0,climb,1454.81,156.86,2372.09,191.54,0.2914,6.38,False,none
74.0,climb,1478.77,157.67,2369.03,191.39,0.291,6.34,False,none
75.0,climb,1509.96,158.45,2364.49,191.37,0.293,6.3,False,none
76.0,climb,1539.26,159.09,2361.45,191.65,0.2915,6.26,False,none
77.0,climb,1571.03,160.29,2361.47,191.98,0.2905,6.23,False,none
78.0,climb,1605.3,160.91,2358.31,192.25,0.2913,6.19,False,none
79.0,climb,1634.94,161.4,2357.82,192.16,0.2898,6.16,False,none
80.0,climb,1661.87,162.43,2350.41,192.25,0.2898,6.12,False,none
81.0,climb,1688.96,163.7,2350.86,192.15,0.2888,6.09,False,none
82.0,climb,1721.08,164.02,2348.57,192.05,0.2888,6.05,False,none
83.0,climb,1751.14,164.93,2350.06,192.1,0.2883,6.02,False,none
84.0,climb,1775.42,166.06,2349.47,192.38,0.2874,5.98,False,none
85.0,climb,1804.55,166.88,2347.14,192.38,0.2855,5.95,False,none
86.0,climb,1836.77,167.93,2347.97,192.78,0.2856,5.91,False,none
87.0,climb,1865.44,168.73,2350.38,192.43,0.2867,5.88,False,none
88.0,climb,1888.28,168.61,2342.15,192.19,0.2883,5.85,False,none
89.0,climb,1913.4,169.42,2337.24,192.3,0.2868,5.81,False,none
90.0,climb,1947.17,169.96,2333.91,192.29,0.2868,5.78,False,none
91.0,climb,1981.26,170.91,2329.78,192.16,0.2861,5.75,False,none
92.0,climb,2012.44,171.93,2328.8,192.28,0.2855,5.71,False,none
93.0,climb,2040.09,172.84,2331.82,192.22,0.2852,5.68,False,none
94.0,climb,2063.99,173.92,2328.71,192.25,0.2831,5.64,False,none
95.0,climb,2096.14,174.25,2325.38,192.4,0.2821,5.61,False,none
96.0,climb,2123.7,175.12,2321.79,192.59,0.2846,5.58,False,none
97.0,climb,2143.58,175.45,2323.07,192.27,0.2843,5.54,False,none
98.0,climb,2171.75,176.57,2321.23,192.23,0.2836,5.51,False,none
99.0,climb,2204.48,177.24,2320.84,192.09,0.284,5.48,False,none
100.0,climb,2231.26,178.03,2316.83,192.19,0.2859,5.44,False,none
101.0,climb,2259.58,179.13,2317.87,192.3,0.2861,5.41,False,none
102.0,climb,2287.67,180.24,2316.49,192.06,0.2858,5.38,False,none
103.0,climb,2307.26,180.99,2315.93,192.23,0.2858,5.34,False,none
104.0,climb,2338.01,181.75,2311.57,191.92,0.2844,5.31,False,none
105.0,climb,2359.47,182.73,2309.74,191.97,0.2844,5.28,False,none
106.0,climb,2390.48,183.84,2306.84,191.87,0.2837,5.24,False,none
107.0,climb,2410.72,184.76,2308.75,191.81,0.2831,5.21,False,none
108.0,cruise,2417.7,189.38,2262.65,191.59,0.2815,4.58,False,none
109.0,cruise,2425.65,194.62,2223.83,191.19,0.2797,4.04,False,none
110.0,cruise,2425.78,198.45,2196.17,190.87,0.279,3.58,False,none
111.0,cruise,2423.4,203.02,2175.07,190.34,0.2758,3.2,False,none
112.0,cruise,2421.77,206.48,2150.61,189.72,0.2753,2.87,False,none
113.0,cruise,2417.45,210.09,2136.83,188.86,0.2715,2.59,False,none
114.0,cruise,2417.91,212.23,2121.03,187.77,0.2696,2.35,False,none
115.0,cruise,2426.6,214.1,2108.12,186.91,0.2688,2.15,False,none
116.0,cruise,2427.08,216.82,2098.81,186.27,0.2679,1.97,False,none
117.0,cruise,2426.37,218.1,2091.49,185.68,0.2665,1.83,False,none
118.0,cruise,2429.11,219.52,2085.86,185.47,0.2637,1.7,False,none
119.0,cruise,2437.24,220.88,2078.35,185.37,0.2629,1.6,False,none
120.0,cruise,2443.85,222.47,2069.99,184.84,0.2614,1.51,False,none
121.0,cruise,2439.57,222.98,2067.66,184.41,0.261,1.43,False,none
122.0,cruise,2439.4,223.79,2063.1,183.79,0.259,1.37,False,none
123.0,cruise,2439.61,224.78,2059.67,183.27,0.2577,1.31,False,none
124.0,cruise,2440.58,225.86,2059.61,182.91,0.2555,1.27,False,none
125.0,cruise,2440.04,226.75,2060.8,182.2,0.2559,1.23,False,none
126.0,cruise,2445.82,227.38,2060.01,181.92,0.2563,1.19,False,none
127.0,cruise,2449.45,228.05,2060.05,181.44,0.2562,1.16,False,none
128.0,cruise,2455.39,228.55,2059.36,181.05,0.2572,1.14,False,none
129.0,cruise,2452.88,229.4,2056.95,180.59,0.2573,1.12,False,none
130.0,cruise,2454.31,229.96,2060.05,180.28,0.2576,1.1,False,none
131.0,cruise,2451.56,230.79,2061.58,180.17,0.2577,1.09,False,none
132.0,cruise,2449.31,230.99,2062.6,179.98,0.2576,1.07,False,none
133.0,cruise,2444.75,231.36,2060.51,179.61,0.2573,1.06,False,none
134.0,cruise,2438.2,231.89,2062.74,179.45,0.256,1.05,False,none
135.0,cruise,2435.29,232.07,2056.46,179.35,0.2569,1.04,False,none
136.0,cruise,2434.91,232.12,2057.89,179.27,0.2581,1.04,False,none
137.0,cruise,2435.85,232.12,2057.54,179.17,0.2597,1.03,False,none
138.0,cruise,2435.44,232.01,2056.3,178.67,0.2594,1.03,False,none
139.0,cruise,2430.85,231.86,2052.59,178.38,0.2595,1.02,False,none
140.0,cruise,2426.46,231.57,2055.02,178.24,0.2593,1.02,False,none
141.0,cruise,2430.28,231.94,2053.39,178.15,0.2593,1.02,False,none
142.0,cruise,2428.8,231.78,2058.13,178.02,0.2582,1.01,False,none
143.0,cruise,2429.72,232.52,2060.0,177.93,0.2587,1.01,False,none
144.0,cruise,2439.16,233.31,2062.62,177.71,0.2628,1.01,False,none
145.0,cruise,2435.22,233.41,2061.42,178.02,0.2621,1.01,False,none
146.0,cruise,2430.37,233.74,2063.63,177.94,0.2596,1.01,False,none
147.0,cruise,2428.32,233.8,2064.2,177.85,0.26,1.01,False,none
148.0,cruise,2425.37,233.41,2062.85,178.1,0.2587,1.01,False,none
149.0,cruise,2435.59,233.87,2060.74,177.93,0.2587,1.0,False,none
150.0,cruise,2431.73,234.95,2059.53,178.04,0.26,1.0,False,none
151.0,cruise,2432.15,234.73,2060.4,178.08,0.2604,1.0,False,none
152.0,cruise,2433.23,234.42,2061.98,177.94,0.2571,1.0,False,none
153.0,cruise,2431.29,234.15,2064.72,178.28,0.2593,1.0,False,none
154.0,cruise,2429.85,234.26,2067.29,178.45,0.2584,1.0,False,none
155.0,cruise,2430.14,235.32,2067.48,178.33,0.2583,1.0,False,none
156.0,cruise,2433.31,235.13,2067.36,178.1,0.2578,1.0,False,none
157.0,cruise,2441.67,235.6,2067.73,177.94,0.2574,1.0,False,none
158.0,cruise,2446.73,235.58,2071.96,177.71,0.2571,1.0,False,none
159.0,cruise,2454.56,235.07,2074.86,177.43,0.2571,1.0,False,none
160.0,cruise,2454.72,235.63,2066.45,177.17,0.2567,1.0,False,none
161.0,cruise,2455.72,235.53,2066.96,177.03,0.2563,1.0,False,none
162.0,cruise,2453.19,235.87,2069.46,177.38,0.2558,1.0,False,none
163.0,cruise,2452.78,236.11,2069.4,177.44,0.2543,1.0,False,none
164.0,cruise,2455.12,236.0,2067.76,177.22,0.2564,1.0,False,none
165.0,cruise,2455.41,236.64,2069.57,177.0,0.2553,1.0,False,none
166.0,cruise,2459.3,236.56,2067.73,177.07,0.2556,1.0,False,none
167.0,cruise,2456.11,236.65,2067.82,176.69,0.2566,1.0,False,none
168.0,cruise,2453.73,237.32,2066.29,176.53,0.2582,1.0,False,none
169.0,cruise,2448.25,237.25,2069.48,176.6,0.2561,1.0,False,none
170.0,cruise,2449.86,237.35,2073.88,176.84,0.2601,1.0,False,none
171.0,cruise,2444.13,237.53,2071.7,177.18,0.2607,1.0,False,none
172.0,cruise,2448.01,237.43,2070.78,176.92,0.2622,1.0,False,none
173.0,cruise,2450.9,237.54,2074.31,177.17,0.2625,1.0,False,none
174.0,cruise,2445.27,237.5,2075.42,177.34,0.2628,1.0,False,none
175.0,cruise,2442.1,237.77,2081.44,177.56,0.263,1.0,False,none
176.0,cruise,2442.88,238.25,2085.45,177.69,0.2636,1.0,False,none
177.0,cruise,2440.24,238.63,2086.56,177.66,0.2641,1.0,False,none
178.0,cruise,2438.4,238.49,2085.28,178.12,0.2635,1.0,False,none
179.0,cruise,2443.01,238.41,2084.5,177.98,0.262,1.0,False,none
180.0,descent,2424.45,236.04,2054.06,177.88,0.2604,0.54,False,none
181.0,descent,2407.05,233.52,2020.51,177.93,0.2594,0.15,False,none
182.0,descent,2375.31,231.35,1994.64,177.94,0.2565,-0.2,False,none
183.0,descent,2349.37,228.89,1970.65,177.4,0.2529,-0.51,False,none
184.0,descent,2321.12,226.28,1948.72,176.65,0.2507,-0.77,False,none
185.0,descent,2293.78,223.91,1934.52,176.15,0.2485,-1.01,False,none
186.0,descent,2266.84,222.6,1921.13,175.72,0.244,-1.22,False,none
187.0,descent,2238.69,219.93,1907.34,175.25,0.2424,-1.41,False,none
188.0,descent,2214.8,217.77,1897.38,174.41,0.2413,-1.58,False,none
189.0,descent,2190.08,216.21,1886.3,174.22,0.24,-1.73,False,none
190.0,descent,2161.45,213.48,1880.81,173.58,0.2379,-1.87,False,none
191.0,descent,2139.51,212.26,1871.0,172.78,0.238,-2.0,False,none
192.0,descent,2109.39,210.14,1864.14,171.87,0.238,-2.12,False,none
193.0,descent,2083.21,209.2,1855.57,171.01,0.2362,-2.23,False,none
194.0,descent,2055.04,207.57,1849.03,170.2,0.2352,-2.33,False,none
195.0,descent,2030.11,206.35,1844.71,169.7,0.236,-2.42,False,none
196.0,descent,2007.75,204.94,1837.18,169.43,0.2342,-2.52,False,none
197.0,descent,1972.38,203.42,1827.18,169.0,0.2329,-2.6,False,none
198.0,descent,1940.84,201.62,1816.13,168.58,0.2326,-2.68,False,none
199.0,descent,1910.19,199.48,1810.45,168.46,0.2312,-2.76,False,none
200.0,descent,1884.42,197.96,1796.03,167.85,0.2298,-2.84,False,none
201.0,descent,1856.47,196.18,1790.88,167.48,0.2281,-2.92,False,none
202.0,descent,1822.03,193.9,1783.89,166.97,0.228,-2.99,False,none
203.0,descent,1787.3,192.44,1779.73,166.77,0.2283,-3.06,False,none
204.0,descent,1755.86,190.87,1774.39,166.16,0.2292,-3.13,False,none
205.0,descent,1730.18,189.73,1767.43,165.75,0.2288,-3.2,False,none
206.0,descent,1697.25,188.05,1760.18,165.25,0.2298,-3.26,False,none
207.0,descent,1664.63,186.17,1755.59,164.81,0.2288,-3.33,False,none
208.0,descent,1630.73,183.86,1748.39,164.15,0.2278,-3.4,False,none
209.0,descent,1592.0,182.37,1743.28,163.76,0.2264,-3.46,False,none
210.0,descent,1559.3,179.84,1733.33,163.3,0.2257,-3.53,False,none
211.0,descent,1524.27,177.74,1727.09,162.77,0.2233,-3.59,False,none
212.0,descent,1490.51,175.97,1723.48,162.45,0.2234,-3.65,False,none
213.0,descent,1456.37,173.98,1714.04,161.75,0.2259,-3.72,False,none
214.0,descent,1416.27,172.24,1706.59,161.28,0.2236,-3.78,False,none
215.0,descent,1372.66,170.23,1696.75,160.83,0.2215,-3.84,False,none
216.0,descent,1333.42,168.68,1689.54,160.57,0.2199,-3.91,False,none
217.0,descent,1297.47,166.57,1685.59,160.04,0.2195,-3.97,False,none
218.0,descent,1261.59,164.91,1680.09,159.54,0.2201,-4.03,False,none
219.0,descent,1227.77,163.47,1670.94,158.92,0.2181,-4.09,False,none
220.0,landing,1155.31,161.94,1655.22,158.68,0.217,-4.0,False,none
221.0,landing,1078.44,159.62,1632.26,158.02,0.215,-3.89,False,none
222.0,landing,1009.88,156.99,1613.05,157.32,0.2153,-3.77,False,none
223.0,landing,951.31,153.75,1595.56,156.38,0.2123,-3.63,False,none
224.0,landing,896.68,149.87,1573.66,155.49,0.2102,-3.48,False,none
225.0,landing,837.93,147.2,1546.38,154.77,0.209,-3.32,False,none
226.0,landing,781.6,143.32,1520.04,154.01,0.2077,-3.16,False,none
227.0,landing,725.21,139.4,1493.53,153.13,0.2048,-2.98,False,none
228.0,landing,675.22,135.22,1463.13,152.31,0.2008,-2.81,False,none
229.0,landing,632.67,131.22,1431.15,151.37,0.1984,-2.62,False,none
230.0,landing,591.21,127.38,1401.35,150.19,0.1948,-2.44,False,none
231.0,landing,545.47,122.7,1372.68,149.09,0.1914,-2.25,False,none
232.0,landing,503.39,118.32,1341.35,147.76,0.1885,-2.06,False,none
233.0,landing,465.9,113.33,1313.12,146.73,0.1857,-1.86,False,none
234.0,landing,432.69,108.86,1281.97,145.65,0.1848,-1.66,False,none
235.0,landing,401.95,104.25,1252.83,144.3,0.18,-1.46,False,none
236.0,landing,377.19,98.85,1225.37,143.14,0.1771,-1.26,False,none
237.0,landing,351.69,94.62,1190.15,141.58,0.1732,-1.06,False,none
238.0,landing,327.6,89.28,1158.17,140.22,0.169,-0.86,False,none
239.0,landing,313.64,83.82,1122.5,138.86,0.1657,-0.66,False,none
