timestamp_s,altitude_ft,airspeed_kts,engine_rpm,engine_temp_c,vibration_g
67.0,14814.47,226.52,2133.56,172.15,0.2594
68.0,14796.87,226.24,2137.91,172.8,0.2482
69.0,14775.91,227.81,2140.79,172.91,0.2412
70.0,14731.59,228.23,2145.65,173.31,0.241
71.0,14677.04,230.01,2144.89,173.8,0.2433
72.0,14634.41,230.42,2142.82,173.42,0.2454
73.0,14600.67,232.33,2150.58,174.33,0.2525
74.0,14532.76,233.49,2146.9,173.12,0.2531
75.0,14507.89,234.65,2147.95,173.2,0.2525
76.0,14461.57,235.41,2154.68,173.52,0.2377
77.0,14428.28,237.07,2166.16,173.45,0.2261
78.0,14397.99,236.6,2173.16,173.21,0.2187
79.0,14353.5,236.58,2188.14,172.52,0.2098
80.0,14318.02,237.48,2192.95,172.76,0.2121
81.0,14294.37,237.91,2213.65,172.52,0.2142
82.0,14287.91,236.34,2221.9,172.67,0.2194
83.0,14269.04,237.35,2235.01,173.21,0.219
84.0,14246.07,238.04,2238.92,173.99,0.213
85.0,14254.83,238.11,2239.57,174.09,0.2013
86.0,14264.09,239.38,2242.68,175.38,0.1927
87.0,14261.23,240.11,2242.1,174.88,0.1851
88.0,14256.59,239.93,2225.59,175.71,0.1823
89.0,14275.64,242.9,2222.96,177.05,0.1799
90.0,14313.18,244.08,2219.42,177.62,0.188
91.0,14331.84,246.36,2214.71,178.07,0.1931
92.0,14343.62,248.0,2216.52,179.07,0.1964
93.0,14354.28,249.14,2222.16,179.25,0.1948
94.0,14364.29,250.41,2218.44,179.74,0.1853
95.0,14403.57,249.83,2221.86,180.2,0.1787
96.0,14409.55,250.97,2225.67,180.43,0.1789
97.0,14406.34,250.05,2235.01,179.68,0.175
98.0,14441.38,251.09,2234.25,180.09,0.18
99.0,14465.3,249.98,2235.84,179.85,0.1916
100.0,14461.38,249.73,2228.66,180.19,0.2044
101.0,14474.81,249.87,2227.91,180.19,0.2091
102.0,14482.83,249.69,2216.36,179.63,0.2103
103.0,14469.65,249.12,2205.83,180.39,0.2076
104.0,14505.71,249.31,2188.58,179.77,0.2008
105.0,14491.36,250.12,2177.79,180.65,0.2004
106.0,14525.42,251.01,2164.05,180.78,0.2016
107.0,14510.72,251.55,2158.85,181.33,0.2098
108.0,14552.44,250.55,2147.5,181.91,0.2214
109.0,14573.22,253.29,2140.5,182.42,0.2334
110.0,14575.6,252.52,2142.21,183.35,0.2438
111.0,14595.18,254.89,2142.74,183.68,0.2427
112.0,14627.06,253.92,2133.88,184.14,0.2439
113.0,14654.51,254.55,2141.23,184.23,0.234
114.0,14704.77,252.05,2134.74,184.17,0.2332
115.0,14767.57,251.01,2131.97,184.72,0.2362
116.0,14792.76,251.61,2128.38,185.14,0.2426
117.0,14838.41,248.26,2121.17,185.15,0.2515
118.0,14898.05,247.34,2111.83,185.55,0.2583
119.0,14964.11,246.13,2096.99,185.48,0.2661
